mode,pool_id,candidate_id,parts,group_size,is_true_group,false_positive,geometry_score,final_decision,reason,post_gate_decision,post_gate_review_queue_state,post_gate_reason
before_conservative_gate,pool_001,G_42cf8d39a232,part_456c93cc0c83.step|part_c2c2636823c8.step,2,False,True,0.9502299999999999,accepted_legacy,legacy selected group passed physical validation,review,selected,blocks_larger_near_tied_group|global_conflict|group_size_below_auto_accept_limit|retained_in_bounded_human_review_frontier
before_conservative_gate,pool_001,G_74b08db16500,part_10492752be81.step|part_377204cd22a1.step|part_860644ab5968.step,3,False,True,0.8888878833333334,accepted_legacy,legacy selected group passed physical validation,review,selected,blocks_larger_near_tied_group|global_conflict|pose_uncertain_or_not_checked|retained_in_bounded_human_review_frontier
before_conservative_gate,pool_002,G_d9cf670e45ac,part_0a9bc24681ec.step|part_5c4fd45e108c.step|part_db5437f18ad6.step,3,False,True,0.94959085,accepted_legacy,legacy selected group passed physical validation,review,deferred,blocks_larger_near_tied_group|deferred_outside_bounded_review_frontier|global_conflict|pose_uncertain_or_not_checked
before_conservative_gate,pool_002,G_903fc4566709,part_0a80ed37a5a4.step|part_63ac2f044499.step|part_83fc890356c6.step|part_a65737968d42.step,4,False,True,0.9023288666666666,accepted_legacy,legacy selected group passed physical validation,review,deferred,blocks_larger_near_tied_group|deferred_outside_bounded_review_frontier|global_conflict|pose_uncertain_or_not_checked
before_conservative_gate,pool_003,G_ba52532200c2,part_163121955dd0.step|part_c81906aa8232.step,2,False,True,0.9759133,accepted_legacy,legacy selected group passed physical validation,review,selected,blocks_larger_near_tied_group|global_conflict|group_size_below_auto_accept_limit|retained_in_bounded_human_review_frontier
before_conservative_gate,pool_003,G_581df58cedf3,part_5615d1fc281e.step|part_f2deb637a8c2.step,2,False,True,0.8907453999999999,accepted_legacy,legacy selected group passed physical validation,review,selected,blocks_larger_near_tied_group|global_conflict|group_consistency_below_threshold|group_size_below_auto_accept_limit|pose_uncertain_or_not_checked|retained_in_bounded_human_review_frontier|weak_single_interface_match
before_conservative_gate,pool_003,G_f9b0350cb3c3,part_652947012577.step|part_6e7da86baeb3.step|part_8e2839f46aa2.step,3,False,True,0.8447626333333333,accepted_legacy,legacy selected group passed physical validation,review,deferred,blocks_larger_near_tied_group|deferred_outside_bounded_review_frontier|global_conflict|pose_uncertain_or_not_checked
before_conservative_gate,pool_004,G_c4fdcc9aa388,part_29307f8dc602.step|part_a1a2c3d1d8e4.step,2,False,True,0.9906364,accepted_legacy,legacy selected group passed physical validation,review,selected,blocks_larger_near_tied_group|global_conflict|group_size_below_auto_accept_limit|retained_in_bounded_human_review_frontier
before_conservative_gate,pool_004,G_ac12854c1e02,part_3e8a07414f0f.step|part_8b06a352023b.step|part_e878b7563d58.step,3,False,True,0.9895811333333332,accepted_legacy,legacy selected group passed physical validation,review,deferred,blocks_larger_near_tied_group|deferred_outside_bounded_review_frontier|global_conflict
before_conservative_gate,pool_004,G_5ec0dfa10c89,part_26df19963184.step|part_714fa9ea359f.step,2,False,True,0.9878058999999999,accepted_legacy,legacy selected group passed physical validation,review,deferred,blocks_larger_near_tied_group|deferred_outside_bounded_review_frontier|global_conflict|group_consistency_below_threshold|group_size_below_auto_accept_limit|weak_single_interface_match
